Language,Source,Percent
JavaScript,Adobe,0.54
Java,Adobe,0.54
Scala,Adobe,0.05
Python,Adobe,0.34
Swift,Adobe,0.04
C++,Adobe,0.34
Obj-C,Adobe,0.12
Go,Adobe,0.03
C,Adobe,0.21
Groovy,Adobe,0.05
C#,Adobe,0.06
Perl,Adobe,0.08
Ruby,Adobe,0.08
JavaScript,O'Reilly,0.55
Java,O'Reilly,0.34
Scala,O'Reilly,0.04
Python,O'Reilly,0.28
Swift,O'Reilly,0.03
C++,O'Reilly,0.18
Obj-C,O'Reilly,0.06
Go,O'Reilly,0.04
C,O'Reilly,0.18
Groovy,O'Reilly,0.06
C#,O'Reilly,0.21
Perl,O'Reilly,0.07
Ruby,O'Reilly,0.14
JavaScript,SO,0.55
Java,SO,0.36
Scala,SO,0
Python,SO,0.25
Swift,SO,0
C++,SO,0.19
Obj-C,SO,0.07
Go,SO,0
C,SO,0.16
Groovy,SO,0
C#,SO,0.31
Perl,SO,0
Ruby,SO,0.09
